MMM,Industrials
ABT,Health Care
ABBV,Health Care
ABMD,Health Care
ACN,Information Technology
ATVI,Communication Services
ADBE,Information Technology
AMD,Information Technology
AAP,Consumer Discretionary
AES,Utilities
AMG,Financials
AFL,Financials
A,Health Care
APD,Materials
AKAM,Information Technology
ALK,Industrials
ALB,Materials
ARE,Real Estate
ALXN,Health Care
ALGN,Health Care
ALLE,Industrials
AGN,Health Care
ADS,Information Technology
LNT,Utilities
ALL,Financials
GOOGL,Communication Services
GOOG,Communication Services
MO,Consumer Staples
AMZN,Consumer Discretionary
AEE,Utilities
AAL,Industrials
AEP,Utilities
AXP,Financials
AIG,Financials
AMT,Real Estate
AWK,Utilities
AMP,Financials
ABC,Health Care
AME,Industrials
AMGN,Health Care
APH,Information Technology
APC,Energy
ADI,Information Technology
ANSS,Information Technology
ANTM,Health Care
AON,Financials
AOS,Industrials
APA,Energy
AIV,Real Estate
AAPL,Information Technology
AMAT,Information Technology
APTV,Consumer Discretionary
ADM,Consumer Staples
ARNC,Industrials
ANET,Information Technology
AJG,Financials
AIZ,Financials
ATO,Utilities
T,Communication Services
ADSK,Information Technology
ADP,Information Technology
AZO,Consumer Discretionary
AVB,Real Estate
AVY,Materials
BHGE,Energy
BLL,Materials
BAC,Financials
BK,Financials
BAX,Health Care
BBT,Financials
BDX,Health Care
BRK.B,Financials
BBY,Consumer Discretionary
BIIB,Health Care
BLK,Financials
HRB,Consumer Discretionary
BA,Industrials
BKNG,Consumer Discretionary
BWA,Consumer Discretionary
BXP,Real Estate
BSX,Health Care
BMY,Health Care
AVGO,Information Technology
BR,Information Technology
BF.B,Consumer Staples
CHRW,Industrials
COG,Energy
CDNS,Information Technology
CPB,Consumer Staples
COF,Financials
CPRI,Consumer Discretionary
CAH,Health Care
KMX,Consumer Discretionary
CCL,Consumer Discretionary
CAT,Industrials
CBOE,Financials
CBRE,Real Estate
CBS,Communication Services
CE,Materials
CELG,Health Care
CNC,Health Care
CNP,Utilities
CTL,Communication Services
CERN,Health Care
CF,Materials
SCHW,Financials
CHTR,Communication Services
CVX,Energy
CMG,Consumer Discretionary
CB,Financials
CHD,Consumer Staples
CI,Health Care
XEC,Energy
CINF,Financials
CTAS,Industrials
CSCO,Information Technology
C,Financials
CFG,Financials
CTXS,Information Technology
CLX,Consumer Staples
CME,Financials
CMS,Utilities
KO,Consumer Staples
CTSH,Information Technology
CL,Consumer Staples
CMCSA,Communication Services
CMA,Financials
CAG,Consumer Staples
CXO,Energy
COP,Energy
ED,Utilities
STZ,Consumer Staples
COO,Health Care
CPRT,Industrials
GLW,Information Technology
COST,Consumer Staples
COTY,Consumer Staples
CCI,Real Estate
CSX,Industrials
CMI,Industrials
CVS,Health Care
DHI,Consumer Discretionary
DHR,Health Care
DRI,Consumer Discretionary
DVA,Health Care
DE,Industrials
DAL,Industrials
XRAY,Health Care
DVN,Energy
FANG,Energy
DLR,Real Estate
DFS,Financials
DISCA,Communication Services
DISCK,Communication Services
DISH,Communication Services
DG,Consumer Discretionary
DLTR,Consumer Discretionary
D,Utilities
DOV,Industrials
DOW,Materials
DWDP,Materials
DTE,Utilities
DRE,Real Estate
DUK,Utilities
DXC,Information Technology
ETFC,Financials
EMN,Materials
ETN,Industrials
EBAY,Consumer Discretionary
ECL,Materials
EIX,Utilities
EW,Health Care
EA,Communication Services
EMR,Industrials
ETR,Utilities
EOG,Energy
EFX,Industrials
EQIX,Real Estate
EQR,Real Estate
ESS,Real Estate
EL,Consumer Staples
EVRG,Utilities
ES,Utilities
RE,Financials
EXC,Utilities
EXPE,Consumer Discretionary
EXPD,Industrials
EXR,Real Estate
XOM,Energy
FFIV,Information Technology
FB,Communication Services
FAST,Industrials
FRT,Real Estate
FDX,Industrials
FIS,Information Technology
FITB,Financials
FE,Utilities
FRC,Financials
FISV,Information Technology
FLT,Information Technology
FLIR,Information Technology
FLS,Industrials
FLR,Industrials
FMC,Materials
FL,Consumer Discretionary
F,Consumer Discretionary
FTNT,Information Technology
FTV,Industrials
FBHS,Industrials
BEN,Financials
FCX,Materials
GPS,Consumer Discretionary
GRMN,Consumer Discretionary
IT,Information Technology
GD,Industrials
GE,Industrials
GIS,Consumer Staples
GM,Consumer Discretionary
GPC,Consumer Discretionary
GILD,Health Care
GPN,Information Technology
GS,Financials
GWW,Industrials
HAL,Energy
HBI,Consumer Discretionary
HOG,Consumer Discretionary
HRS,Industrials
HIG,Financials
HAS,Consumer Discretionary
HCA,Health Care
HCP,Real Estate
HP,Energy
HSIC,Health Care
HSY,Consumer Staples
HES,Energy
HPE,Information Technology
HLT,Consumer Discretionary
HFC,Energy
HOLX,Health Care
HD,Consumer Discretionary
HON,Industrials
HRL,Consumer Staples
HST,Real Estate
HPQ,Information Technology
HUM,Health Care
HBAN,Financials
HII,Industrials
IDXX,Health Care
INFO,Industrials
ITW,Industrials
ILMN,Health Care
IR,Industrials
INTC,Information Technology
ICE,Financials
IBM,Information Technology
INCY,Health Care
IP,Materials
IPG,Communication Services
IFF,Materials
INTU,Information Technology
ISRG,Health Care
IVZ,Financials
IPGP,Information Technology
IQV,Health Care
IRM,Real Estate
JKHY,Information Technology
JEC,Industrials
JBHT,Industrials
JEF,Financials
SJM,Consumer Staples
JNJ,Health Care
JCI,Industrials
JPM,Financials
JNPR,Information Technology
KSU,Industrials
K,Consumer Staples
KEY,Financials
KEYS,Information Technology
KMB,Consumer Staples
KIM,Real Estate
KMI,Energy
KLAC,Information Technology
KSS,Consumer Discretionary
KHC,Consumer Staples
KR,Consumer Staples
LB,Consumer Discretionary
LLL,Industrials
LH,Health Care
LRCX,Information Technology
LW,Consumer Staples
LEG,Consumer Discretionary
LEN,Consumer Discretionary
LLY,Health Care
LNC,Financials
LIN,Materials
LKQ,Consumer Discretionary
LMT,Industrials
L,Financials
LOW,Consumer Discretionary
LYB,Materials
MTB,Financials
MAC,Real Estate
M,Consumer Discretionary
MRO,Energy
MPC,Energy
MAR,Consumer Discretionary
MMC,Financials
MLM,Materials
MAS,Industrials
MA,Information Technology
MAT,Consumer Discretionary
MKC,Consumer Staples
MXIM,Information Technology
MCD,Consumer Discretionary
MCK,Health Care
MDT,Health Care
MRK,Health Care
MET,Financials
MTD,Health Care
MGM,Consumer Discretionary
MCHP,Information Technology
MU,Information Technology
MSFT,Information Technology
MAA,Real Estate
MHK,Consumer Discretionary
TAP,Consumer Staples
MDLZ,Consumer Staples
MNST,Consumer Staples
MCO,Financials
MS,Financials
MOS,Materials
MSI,Information Technology
MSCI,Financials
MYL,Health Care
NDAQ,Financials
NOV,Energy
NKTR,Health Care
NTAP,Information Technology
NFLX,Communication Services
NWL,Consumer Discretionary
NEM,Materials
NWSA,Communication Services
NWS,Communication Services
NEE,Utilities
NLSN,Industrials
NKE,Consumer Discretionary
NI,Utilities
NBL,Energy
JWN,Consumer Discretionary
NSC,Industrials
NTRS,Financials
NOC,Industrials
NCLH,Consumer Discretionary
NRG,Utilities
NUE,Materials
NVDA,Information Technology
ORLY,Consumer Discretionary
OXY,Energy
OMC,Communication Services
OKE,Energy
ORCL,Information Technology
PCAR,Industrials
